"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","260","97","8",".",".","150","63","41",".","20","165",".","180","."
"06005","Amador County, CA","355","308","45","2",".",".","115","51","39",".",".","355",".",".","."
"06007","Butte County, CA","365","224","136","3","2",".","173","67","46",".",".","226",".","138","1"
"06009","Calaveras County, CA","360","299","60","1",".",".","108","58","41.5",".",".","319",".","38","3"
"06011","Colusa County, CA","365","294","71",".",".",".","83","59","39",".",".","218",".","91","56"
"06013","Contra Costa County, CA","365","292","69","4",".",".","129","61","40",".","3","239",".","122","1"
"06015","Del Norte County, CA","248","236","12",".",".",".","71","43","20",".",".",".",".","248","."
"06017","El Dorado County, CA","365","273","86","6",".",".","122","74","43",".",".","355",".","1","9"
"06019","Fresno County, CA","365","139","160","64","2",".","187","115","60",".","2","257",".","82","24"
"06021","Glenn County, CA","362","302","60",".",".",".","86","55","40",".",".","275",".","70","17"
"06023","Humboldt County, CA","363","353","10",".",".",".","65","40","27","2",".","261",".","57","43"
"06025","Imperial County, CA","365","125","219","19","2",".","185","93","58",".","1","203",".","84","77"
"06027","Inyo County, CA","365","232","121","6","2","4","638","84","47",".",".","318",".","14","33"
"06029","Kern County, CA","365","119","151","87","6","2","548","122","67",".","2","254",".","78","31"
"06031","Kings County, CA","365","152","172","37","2","2","507","105","56",".",".","186",".","105","74"
"06033","Lake County, CA","360","360",".",".",".",".","50","41","31",".",".","356",".","3","1"
"06037","Los Angeles County, CA","365","66","213","57","28","1","201","136","71",".","32","199",".","126","8"
"06039","Madera County, CA","365","189","163","13",".",".","140","84","50",".",".","254",".","71","40"
"06041","Marin County, CA","363","337","25","1",".",".","133","48","33",".","11","216",".","136","."
"06043","Mariposa County, CA","365","221","130","9","5",".","176","84","47",".",".","289",".","74","2"
"06045","Mendocino County, CA","361","334","27",".",".",".","77","47","33",".",".","215",".","132","14"
"06047","Merced County, CA","365","213","145","7",".",".","119","79","48",".",".","244",".","118","3"
"06051","Mono County, CA","365","270","80","6",".","9","3852","81","27",".",".",".",".","308","57"
"06053","Monterey County, CA","365","330","34","1",".",".","144","50","37","2",".","285",".","64","14"
"06055","Napa County, CA","363","330","31","2",".",".","119","49","35","2",".","259",".","102","."
"06057","Nevada County, CA","361","273","83","5",".",".","122","71","44",".",".","321",".","40","."
"06059","Orange County, CA","365","213","136","15","1",".","172","87","48",".","11","253",".","94","7"
"06061","Placer County, CA","365","239","117","9",".",".","136","77","45",".","1","280",".","81","3"
"06063","Plumas County, CA","341","248","88","5",".",".","138","68","25",".",".",".",".","341","."
"06065","Riverside County, CA","365","75","170","91","29",".","185","147","77",".",".","245",".","72","48"
"06067","Sacramento County, CA","365","213","142","10",".",".","140","84","46",".","1","237",".","119","8"
"06069","San Benito County, CA","365","326","39",".",".",".","90","51","38",".",".","343",".","15","7"
"06071","San Bernardino County, CA","365","55","177","71","54","8","213","169","80",".","15","240",".","102","8"
"06073","San Diego County, CA","365","87","253","23","2",".","169","93","64",".","2","170",".","190","3"
"06075","San Francisco County, CA","365","313","51","1",".",".","108","52","36",".","26","166",".","173","."
"06077","San Joaquin County, CA","365","231","122","11","1",".","190","80","44",".","1","235",".","111","18"
"06079","San Luis Obispo County, CA","365","230","132","3",".",".","108","74","46",".",".","278",".","56","31"
"06081","San Mateo County, CA","365","327","36","2",".",".","122","51","35",".","18","204",".","143","."
"06083","Santa Barbara County, CA","365","286","78","1",".",".","105","59","43",".",".","290",".","61","14"
"06085","Santa Clara County, CA","365","271","90","4",".",".","136","66","41",".","3","215",".","146","1"
"06087","Santa Cruz County, CA","365","347","18",".",".",".","70","46","35",".",".","253",".","112","."
"06089","Shasta County, CA","364","311","53",".",".",".","100","54","42",".",".","351",".","11","2"
"06093","Siskiyou County, CA","365","332","29","2","2",".","161","49","36",".",".","262",".","103","."
"06095","Solano County, CA","365","290","74","1",".",".","119","59","40",".","1","214",".","150","."
"06097","Sonoma County, CA","365","348","17",".",".",".","87","44","33",".","3","255",".","97","10"
"06099","Stanislaus County, CA","365","201","141","22","1",".","177","91","49",".",".","239",".","112","14"
"06101","Sutter County, CA","365","239","124","2",".",".","110","71","44",".",".","244",".","114","7"
"06103","Tehama County, CA","365","282","83",".",".",".","93","64","41",".",".","319",".","45","1"
"06105","Trinity County, CA","269","246","21","2",".",".","113","49","18",".",".",".",".","269","."
"06107","Tulare County, CA","365","127","157","78","2","1","280","122","66",".","1","242",".","99","23"
"06109","Tuolumne County, CA","358","273","83","2",".",".","108","67","43",".",".","358",".",".","."
"06111","Ventura County, CA","365","214","142","9",".",".","126","77","46",".","3","278",".","73","11"
"06113","Yolo County, CA","365","284","80","1",".",".","136","61","41",".","1","276",".","85","3"
